filename,width,height,class,xmin,ymin,xmax,ymax
1683016797630_png.rf.32d824a1d86a4f1f3cf49f100a19fa71.jpg,640,640,car,212,377,316,442
1683016797630_png.rf.32d824a1d86a4f1f3cf49f100a19fa71.jpg,640,640,car,213,310,322,367
1683016797630_png.rf.32d824a1d86a4f1f3cf49f100a19fa71.jpg,640,640,car,225,239,326,292
1683016797630_png.rf.32d824a1d86a4f1f3cf49f100a19fa71.jpg,640,640,car,230,168,329,227
1683016797630_png.rf.32d824a1d86a4f1f3cf49f100a19fa71.jpg,640,640,car,236,102,339,159
1683016797630_png.rf.32d824a1d86a4f1f3cf49f100a19fa71.jpg,640,640,car,242,44,337,100
1683016797630_png.rf.32d824a1d86a4f1f3cf49f100a19fa71.jpg,640,640,car,324,459,434,531
1683016797630_png.rf.32d824a1d86a4f1f3cf49f100a19fa71.jpg,640,640,car,328,380,438,445
1683016797630_png.rf.32d824a1d86a4f1f3cf49f100a19fa71.jpg,640,640,car,328,307,422,370
1683016797630_png.rf.32d824a1d86a4f1f3cf49f100a19fa71.jpg,640,640,car,336,235,439,299
1683016797630_png.rf.32d824a1d86a4f1f3cf49f100a19fa71.jpg,640,640,car,344,168,445,229
1683016797630_png.rf.32d824a1d86a4f1f3cf49f100a19fa71.jpg,640,640,car,352,101,453,165
1683016797630_png.rf.32d824a1d86a4f1f3cf49f100a19fa71.jpg,640,640,car,352,42,444,97
1683016797630_png.rf.7ac874672c2884dbfda0b3af34536949.jpg,640,640,car,326,200,430,265
1683016797630_png.rf.7ac874672c2884dbfda0b3af34536949.jpg,640,640,car,320,276,429,333
1683016797630_png.rf.7ac874672c2884dbfda0b3af34536949.jpg,640,640,car,316,351,417,404
1683016797630_png.rf.7ac874672c2884dbfda0b3af34536949.jpg,640,640,car,314,415,413,474
1683016797630_png.rf.7ac874672c2884dbfda0b3af34536949.jpg,640,640,car,304,483,407,540
1683016797630_png.rf.7ac874672c2884dbfda0b3af34536949.jpg,640,640,car,305,542,400,598
1683016797630_png.rf.7ac874672c2884dbfda0b3af34536949.jpg,640,640,car,208,111,318,183
1683016797630_png.rf.7ac874672c2884dbfda0b3af34536949.jpg,640,640,car,204,197,314,262
1683016797630_png.rf.7ac874672c2884dbfda0b3af34536949.jpg,640,640,car,221,272,315,335
1683016797630_png.rf.7ac874672c2884dbfda0b3af34536949.jpg,640,640,car,203,343,306,407
1683016797630_png.rf.7ac874672c2884dbfda0b3af34536949.jpg,640,640,car,198,413,299,474
1683016797630_png.rf.7ac874672c2884dbfda0b3af34536949.jpg,640,640,car,190,477,291,541
1683016797630_png.rf.7ac874672c2884dbfda0b3af34536949.jpg,640,640,car,198,545,290,600
1683016797630_png.rf.d8718533701224d7133282d087f71a85.jpg,640,640,car,326,377,430,442
1683016797630_png.rf.d8718533701224d7133282d087f71a85.jpg,640,640,car,320,310,429,367
1683016797630_png.rf.d8718533701224d7133282d087f71a85.jpg,640,640,car,316,239,417,292
1683016797630_png.rf.d8718533701224d7133282d087f71a85.jpg,640,640,car,314,168,413,227
1683016797630_png.rf.d8718533701224d7133282d087f71a85.jpg,640,640,car,304,102,407,159
1683016797630_png.rf.d8718533701224d7133282d087f71a85.jpg,640,640,car,305,44,400,100
1683016797630_png.rf.d8718533701224d7133282d087f71a85.jpg,640,640,car,208,459,318,531
1683016797630_png.rf.d8718533701224d7133282d087f71a85.jpg,640,640,car,204,380,314,445
1683016797630_png.rf.d8718533701224d7133282d087f71a85.jpg,640,640,car,221,307,315,370
1683016797630_png.rf.d8718533701224d7133282d087f71a85.jpg,640,640,car,203,235,306,299
1683016797630_png.rf.d8718533701224d7133282d087f71a85.jpg,640,640,car,198,168,299,229
1683016797630_png.rf.d8718533701224d7133282d087f71a85.jpg,640,640,car,190,101,291,165
1683016797630_png.rf.d8718533701224d7133282d087f71a85.jpg,640,640,car,198,42,290,97
1683016825985_png.rf.69c95d3b0822c9f3efdf4803be7f891f.jpg,640,640,car,3,355,102,413
1683016825985_png.rf.69c95d3b0822c9f3efdf4803be7f891f.jpg,640,640,car,1,285,108,347
1683016825985_png.rf.69c95d3b0822c9f3efdf4803be7f891f.jpg,640,640,car,17,426,118,482
1683016825985_png.rf.69c95d3b0822c9f3efdf4803be7f891f.jpg,640,640,car,32,487,127,551
1683016825985_png.rf.69c95d3b0822c9f3efdf4803be7f891f.jpg,640,640,car,44,554,140,608
1683016825985_png.rf.69c95d3b0822c9f3efdf4803be7f891f.jpg,640,640,car,242,27,356,103
1683016825985_png.rf.69c95d3b0822c9f3efdf4803be7f891f.jpg,640,640,car,245,125,363,193
1683016825985_png.rf.69c95d3b0822c9f3efdf4803be7f891f.jpg,640,640,car,265,285,362,346
1683016825985_png.rf.69c95d3b0822c9f3efdf4803be7f891f.jpg,640,640,car,260,358,361,418
1683016825985_png.rf.69c95d3b0822c9f3efdf4803be7f891f.jpg,640,640,car,269,427,364,477
1683016825985_png.rf.69c95d3b0822c9f3efdf4803be7f891f.jpg,640,640,car,262,486,357,545
1683016825985_png.rf.69c95d3b0822c9f3efdf4803be7f891f.jpg,640,640,car,265,548,360,606
1683016825985_png.rf.69c95d3b0822c9f3efdf4803be7f891f.jpg,640,640,car,391,39,488,103
1683016825985_png.rf.69c95d3b0822c9f3efdf4803be7f891f.jpg,640,640,car,377,128,495,198
1683016825985_png.rf.69c95d3b0822c9f3efdf4803be7f891f.jpg,640,640,car,375,214,480,275
1683016825985_png.rf.69c95d3b0822c9f3efdf4803be7f891f.jpg,640,640,car,373,288,481,351
1683016825985_png.rf.69c95d3b0822c9f3efdf4803be7f891f.jpg,640,640,car,370,426,468,485
1683016825985_png.rf.69c95d3b0822c9f3efdf4803be7f891f.jpg,640,640,car,365,488,465,554
1683016825985_png.rf.69c95d3b0822c9f3efdf4803be7f891f.jpg,640,640,free_space,251,197,369,283
1683016825985_png.rf.69c95d3b0822c9f3efdf4803be7f891f.jpg,640,640,free_space,364,345,468,425
1683016825985_png.rf.77a9e127577bc6bd648ad0fdd9e73f28.jpg,640,640,car,540,230,639,288
1683016825985_png.rf.77a9e127577bc6bd648ad0fdd9e73f28.jpg,640,640,car,534,296,641,358
1683016825985_png.rf.77a9e127577bc6bd648ad0fdd9e73f28.jpg,640,640,car,525,160,626,216
1683016825985_png.rf.77a9e127577bc6bd648ad0fdd9e73f28.jpg,640,640,car,515,91,610,155
1683016825985_png.rf.77a9e127577bc6bd648ad0fdd9e73f28.jpg,640,640,car,502,34,598,88
1683016825985_png.rf.77a9e127577bc6bd648ad0fdd9e73f28.jpg,640,640,car,286,540,400,616
1683016825985_png.rf.77a9e127577bc6bd648ad0fdd9e73f28.jpg,640,640,car,279,449,397,517
